TASK,TYPE,ITEM_ID,ANNOTATOR_ID,TIME,SYSTEM_0,SCORE_0_A,SCORE_0_B,SYSTEM_1,SCORE_1_A,SCORE_1_B,SYSTEM_2,SCORE_2_A,SCORE_2_B,SYSTEM_3,SCORE_3_A,SCORE_3_B,SYSTEM_4,SCORE_4_A,SCORE_4_B
WMT08 French-English Europarl,RANK,252,5,91,saar,3,,lium-systran,2,,rbmt3,3,,dcu,4,,systran,3,
WMT08 French-English Europarl,RANK,1065,5,51,rbmt4,3,,rbmt3,3,,rbmt5,3,,lium-systran,3,,dcu,3,
WMT08 French-English Europarl,RANK,1175,5,26,rbmt5,3,,saar,2,,rbmt4,3,,saar-contrast,2,,limsi,3,
WMT08 French-English Europarl,RANK,452,5,67,saar-contrast,3,,lium-systran,4,,limsi,4,,cmu-statxfer,5,,ucl,5,
WMT08 French-English Europarl,RANK,970,5,89,lium-systran,3,,rbmt6,2,,rbmt3,4,,uedin,4,,cued,3,
WMT08 French-English Europarl,RANK,302,5,50,saar,3,,cmu-statxfer,4,,limsi,2,,rbmt6,3,,rbmt3,5,
WMT08 French-English Europarl,RANK,1671,5,60,saar-contrast,4,,dcu,3,,saar,2,,limsi,3,,rbmt4,5,
WMT08 French-English Europarl,RANK,203,5,76,rbmt6,3,,cued,2,,saar,4,,saar-contrast,2,
WMT08 French-English Europarl,RANK,552,7,80,rbmt4,1,,cued,3,,ucl,2,,rbmt5,5,,rbmt6,4,
WMT08 French-English Europarl,RANK,352,7,121,rbmt6,2,,cued,1,,lium-systran,1,,ucl,2,,systran,1,
WMT08 French-English Europarl,RANK,1158,7,64,ucl,4,,lium-systran,1,,cued,3,,saar,2,,saar-contrast,2,
WMT08 French-English Europarl,RANK,1372,7,143,limsi,1,,systran,1,,rbmt3,3,,cmu-statxfer,2,,rbmt5,2,
WMT08 French-English Europarl,RANK,1490,7,40,ucl,1,,saar,2,,rbmt3,3,,rbmt4,2,,cmu-statxfer,1,
WMT08 French-English Europarl,RANK,702,7,130,rbmt6,3,,saar-contrast,1,,uedin,1,,rbmt4,2,
WMT08 French-English Europarl,RANK,1045,7,60,cmu-statxfer,4,,rbmt3,1,,rbmt6,2,,saar-contrast,1,,ucl,3,
WMT08 French-English Europarl,RANK,1302,7,110,uedin,2,,saar-contrast,1,,rbmt4,3,,lium-systran,2,,ucl,1,
WMT08 French-English Europarl,RANK,324,7,51,dcu,2,,ucl,2,,rbmt5,2,,cued,2,,rbmt4,1,
WMT08 French-English Europarl,RANK,1158,7,77,ucl,3,,lium-systran,1,,cued,2,,saar,2,,saar-contrast,2,
WMT08 French-English Europarl,RANK,995,9,86,saar,5,,limsi,4,,rbmt3,2,,rbmt5,2,
WMT08 French-English Europarl,RANK,134,9,78,rbmt6,5,,saar,3,,limsi,1,,lium-systran,3,,cued,1,
WMT08 French-English Europarl,RANK,102,9,192,saar-contrast,1,,lium-systran,3,,systran,2,,rbmt3,5,,limsi,3,
WMT08 French-English Europarl,RANK,552,9,170,saar-contrast,4,,limsi,2,,lium-systran,3,,ucl,1,,rbmt3,4,
WMT08 French-English Europarl,RANK,1987,9,133,rbmt6,5,,uedin,2,,saar-contrast,4,,limsi,1,,saar,3,
WMT08 French-English Europarl,RANK,1218,9,32,uedin,1,,cmu-statxfer,5,,saar-contrast,1,,ucl,1,,limsi,1,
WMT08 French-English Europarl,RANK,1752,9,129,rbmt6,5,,saar-contrast,1,,systran,4,,rbmt3,2,,cmu-statxfer,3,
WMT08 French-English Europarl,RANK,1402,9,88,rbmt3,5,,lium-systran,1,,systran,1,,uedin,1,,limsi,1,
WMT08 French-English Europarl,RANK,701,9,121,ucl,1,,rbmt3,5,,lium-systran,1,,cmu-statxfer,4,,uedin,1,
WMT08 French-English Europarl,RANK,134,9,77,rbmt6,5,,saar,1,,limsi,1,,lium-systran,1,,cued,1,
WMT08 French-English Europarl,RANK,1290,33,166,dcu,1,,systran,3,,limsi,2,,cmu-statxfer,4,,rbmt4,5,
WMT08 French-English Europarl,RANK,1302,33,94,rbmt5,4,,cmu-statxfer,2,,rbmt6,3,,rbmt4,5,,dcu,1,
WMT08 French-English Europarl,RANK,302,33,78,rbmt5,2,,rbmt3,1,,saar,3,,rbmt4,4,,systran,5,
WMT08 French-English Europarl,RANK,158,33,86,ucl,1,,uedin,1,,dcu,2,,saar,1,,rbmt5,4,
WMT08 French-English Europarl,RANK,1102,33,225,uedin,2,,saar,1,,rbmt4,1,,limsi,2,,cmu-statxfer,3,
WMT08 French-English Europarl,RANK,152,18,186,rbmt5,4,,rbmt3,5,,limsi,1,,saar,2,,cued,3,
WMT08 French-English Europarl,RANK,988,18,102,systran,4,,saar-contrast,5,,limsi,1,,lium-systran,1,,uedin,1,
WMT08 French-English Europarl,RANK,1652,18,242,saar-contrast,2,,rbmt6,5,,dcu,1,,cued,4,,rbmt4,3,
WMT08 French-English Europarl,RANK,1493,18,118,dcu,1,,ucl,5,,rbmt6,3,,saar,2,,rbmt4,4,
WMT08 French-English Europarl,RANK,152,18,85,rbmt3,5,,lium-systran,2,,saar-contrast,1,,saar,4,,dcu,3,
WMT08 French-English Europarl,RANK,536,18,62,rbmt3,2,,systran,3,,saar,4,,saar-contrast,1,,ucl,5,
WMT08 French-English Europarl,RANK,1102,18,182,uedin,3,,rbmt6,4,,saar,5,,systran,2,,saar-contrast,1,
WMT08 French-English Europarl,RANK,1864,18,35,limsi,1,,systran,5,,rbmt5,4,,saar-contrast,1,,saar,1,
WMT08 French-English Europarl,RANK,1552,18,49,lium-systran,1,,limsi,1,,rbmt6,5,,cued,4,,systran,3,
WMT08 French-English Europarl,RANK,988,18,64,systran,4,,saar-contrast,5,,limsi,2,,lium-systran,2,,uedin,1,
WMT08 French-English Europarl,RANK,833,40,94,saar-contrast,5,,limsi,1,,ucl,3,,systran,4,,saar,2,
WMT08 French-English Europarl,RANK,1152,40,84,limsi,3,,rbmt5,4,,rbmt3,5,,systran,1,,uedin,2,
WMT08 French-English Europarl,RANK,902,40,118,systran,4,,cued,2,,lium-systran,1,,saar-contrast,3,,rbmt3,5,
WMT08 French-English Europarl,RANK,1002,40,94,saar,5,,saar-contrast,3,,rbmt4,2,,ucl,1,,systran,4,
WMT08 French-English Europarl,RANK,106,40,109,saar-contrast,5,,dcu,1,,rbmt3,2,,rbmt5,4,,rbmt4,3,
WMT08 French-English Europarl,RANK,1399,40,82,rbmt5,4,,dcu,1,,limsi,2,,rbmt6,5,,saar-contrast,2,
WMT08 French-English Europarl,RANK,1852,40,73,saar,5,,rbmt5,4,,saar-contrast,1,,cmu-statxfer,3,,cued,2,
WMT08 French-English Europarl,RANK,1875,40,101,uedin,1,,limsi,3,,lium-systran,3,,cued,2,,rbmt4,5,
WMT08 French-English Europarl,RANK,413,40,89,rbmt5,2,,rbmt3,1,,limsi,3,,cmu-statxfer,5,,ucl,4,
WMT08 French-English Europarl,RANK,1152,40,57,limsi,2,,rbmt5,4,,rbmt3,5,,systran,1,,uedin,3,
WMT08 French-English Europarl,RANK,502,46,68,systran,3,,lium-systran,4,,cued,2,,rbmt3,4,,ucl,5,
WMT08 French-English Europarl,RANK,1602,46,51,cmu-statxfer,5,,uedin,2,,rbmt4,3,,lium-systran,2,,rbmt6,4,
WMT08 French-English Europarl,RANK,1419,46,46,lium-systran,1,,rbmt6,4,,cued,3,,cmu-statxfer,5,,uedin,2,
WMT08 French-English Europarl,RANK,861,46,200,lium-systran,4,,saar,5,,ucl,4,,systran,2,,dcu,1,
WMT08 French-English Europarl,RANK,470,46,146,dcu,1,,uedin,4,,saar-contrast,5,,cued,3,,lium-systran,2,
WMT08 French-English Europarl,RANK,1712,46,46,dcu,4,,cued,3,,uedin,2,,rbmt6,1,,systran,5,
WMT08 French-English Europarl,RANK,1510,46,141,rbmt6,5,,dcu,4,,ucl,3,,uedin,2,,cued,1,
WMT08 French-English Europarl,RANK,202,48,47,uedin,3,,rbmt6,5,,cued,1,,systran,4,,dcu,2,
WMT08 French-English Europarl,RANK,78,48,74,systran,4,,rbmt6,5,,rbmt4,3,,uedin,2,,cmu-statxfer,1,
WMT08 French-English Europarl,RANK,1000,48,25,limsi,1,,systran,1,,rbmt5,2,,dcu,1,,rbmt6,2,
WMT08 French-English Europarl,RANK,1311,48,111,rbmt3,3,,cmu-statxfer,3,,dcu,1,,saar-contrast,1,,rbmt5,2,
WMT08 French-English Europarl,RANK,852,48,161,systran,2,,saar,3,,uedin,3,,ucl,1,,lium-systran,2,
WMT08 French-English Europarl,RANK,988,48,103,dcu,2,,rbmt3,1,,rbmt6,3,,systran,4,,saar-contrast,4,
WMT08 French-English Europarl,RANK,1956,48,11,lium-systran,1,,rbmt6,1,,cmu-statxfer,1,,rbmt3,1,,cued,1,
WMT08 French-English Europarl,RANK,1902,48,44,saar-contrast,1,,lium-systran,1,,limsi,1,,cued,1,,rbmt5,2,
WMT08 French-English Europarl,RANK,1102,48,147,dcu,1,,ucl,3,,saar,1,,systran,1,,limsi,2,
WMT08 French-English Europarl,RANK,78,48,83,systran,4,,rbmt6,5,,rbmt4,3,,uedin,2,,cmu-statxfer,1,
WMT08 French-English Europarl,RANK,1263,72,72,dcu,3,,rbmt5,1,,cued,4,,uedin,5,,rbmt3,2,
WMT08 French-English Europarl,RANK,1702,72,82,dcu,3,,saar-contrast,1,,rbmt5,4,,systran,4,,lium-systran,1,
WMT08 French-English Europarl,RANK,752,72,17,cued,2,,dcu,2,,uedin,1,,lium-systran,2,,ucl,2,
WMT08 French-English Europarl,RANK,1424,72,83,rbmt4,2,,rbmt6,1,,systran,3,,lium-systran,3,,cmu-statxfer,4,
WMT08 French-English Europarl,RANK,1080,72,99,uedin,1,,ucl,2,,rbmt6,5,,saar,2,,rbmt4,3,
WMT08 French-English Europarl,RANK,1215,72,214,saar-contrast,2,,rbmt3,3,,systran,5,,cued,4,,lium-systran,1,
WMT08 French-English Europarl,RANK,1352,72,76,lium-systran,1,,saar,4,,rbmt4,3,,systran,2,,cued,1,
WMT08 French-English Europarl,RANK,1002,72,69,lium-systran,2,,rbmt6,3,,ucl,4,,cmu-statxfer,1,,systran,5,
WMT08 French-English Europarl,RANK,1084,72,77,rbmt4,1,,dcu,4,,ucl,5,,saar,2,,cued,4,
WMT08 French-English Europarl,RANK,1263,72,44,dcu,3,,rbmt5,1,,cued,4,,uedin,5,,rbmt3,2,
WMT08 French-English Europarl,RANK,952,76,117,saar,2,,dcu,1,,rbmt4,3,,systran,3,,rbmt5,4,
WMT08 French-English Europarl,RANK,53,76,122,systran,2,,rbmt5,1,,lium-systran,3,,ucl,3,,uedin,4,
WMT08 French-English Europarl,RANK,1852,76,63,saar-contrast,1,,dcu,3,,saar,4,,cmu-statxfer,2,,ucl,4,
WMT08 French-English Europarl,RANK,1090,76,110,systran,3,,saar-contrast,5,,rbmt3,4,,uedin,1,,lium-systran,2,
WMT08 French-English Europarl,RANK,1799,76,125,rbmt3,4,,saar,5,,limsi,2,,uedin,1,,saar-contrast,3,
WMT08 French-English Europarl,RANK,291,76,62,rbmt4,3,,lium-systran,2,,cmu-statxfer,3,,rbmt5,1,,rbmt6,4,
WMT08 French-English Europarl,RANK,752,76,20,rbmt6,3,,limsi,1,,systran,2,,saar-contrast,1,,saar,1,
WMT08 French-English Europarl,RANK,352,76,46,saar-contrast,2,,cmu-statxfer,2,,rbmt3,1,,rbmt5,1,,rbmt6,1,
WMT08 French-English Europarl,RANK,101,76,47,saar-contrast,2,,cmu-statxfer,3,,lium-systran,1,,rbmt5,2,,rbmt4,2,
WMT08 French-English Europarl,RANK,53,76,45,systran,3,,rbmt5,2,,lium-systran,2,,ucl,1,,uedin,3,
WMT08 French-English Europarl,RANK,1302,66,631,dcu,2,,rbmt3,5,,rbmt5,1,,limsi,3,,ucl,4,
WMT08 French-English Europarl,RANK,707,66,351,systran,4,,rbmt3,5,,saar-contrast,2,,lium-systran,3,,limsi,1,
WMT08 French-English Europarl,RANK,802,66,1060,ucl,2,,rbmt3,1,,rbmt5,2,,saar-contrast,1,,systran,1,
WMT08 French-English Europarl,RANK,1202,66,1151,saar,2,,dcu,1,,rbmt4,2,,ucl,2,,limsi,2,
WMT08 French-English Europarl,RANK,1452,66,813,cmu-statxfer,3,,rbmt6,3,,systran,3,,rbmt3,2,,limsi,1,
WMT08 French-English Europarl,RANK,327,66,1321,saar,2,,cued,1,,saar-contrast,1,,dcu,3,,rbmt3,2,
WMT08 French-English Europarl,RANK,1904,66,218,rbmt4,1,,dcu,1,,systran,2,,lium-systran,1,,ucl,1,
WMT08 French-English Europarl,RANK,771,66,275,ucl,1,,rbmt4,4,,rbmt6,2,,cmu-statxfer,3,,limsi,2,
WMT08 French-English Europarl,RANK,794,66,662,saar-contrast,1,,cmu-statxfer,3,,limsi,2,,rbmt5,3,,saar,1,
WMT08 French-English Europarl,RANK,707,66,292,systran,4,,rbmt3,5,,saar-contrast,3,,lium-systran,2,,limsi,1,
WMT08 French-English Europarl,RANK,207,15,96,rbmt6,4,,dcu,1,,rbmt3,2,,saar-contrast,1,,rbmt4,3,
WMT08 French-English Europarl,RANK,25,15,92,saar-contrast,2,,cmu-statxfer,4,,rbmt5,2,,rbmt3,3,,dcu,2,
WMT08 French-English Europarl,RANK,752,15,25,saar,1,,limsi,1,,uedin,1,,cued,1,,rbmt6,5,
WMT08 French-English Europarl,RANK,1753,15,45,cued,4,,rbmt3,5,,ucl,1,,cmu-statxfer,3,,saar-contrast,1,
WMT08 French-English Europarl,RANK,302,15,62,ucl,2,,rbmt5,3,,saar-contrast,2,,systran,3,,rbmt4,4,
WMT08 French-English Europarl,RANK,502,15,77,cued,2,,lium-systran,4,,rbmt4,3,,cmu-statxfer,5,,saar,3,
WMT08 French-English Europarl,RANK,774,15,137,saar,3,,lium-systran,3,,limsi,2,,rbmt4,4,,saar-contrast,1,
WMT08 French-English Europarl,RANK,453,15,100,saar-contrast,3,,systran,5,,rbmt5,2,,lium-systran,2,,dcu,5,
WMT08 French-English Europarl,RANK,552,15,63,saar,3,,ucl,2,,rbmt3,5,,limsi,4,,rbmt6,5,
WMT08 French-English Europarl,RANK,752,15,11,saar,1,,limsi,1,,uedin,2,,cued,1,,rbmt6,5,
WMT08 French-English Europarl,RANK,1752,78,91,cmu-statxfer,3,,ucl,5,,rbmt6,4,,cued,1,,uedin,2,
WMT08 French-English Europarl,RANK,1089,78,105,rbmt3,5,,uedin,1,,saar,2,,cued,3,,limsi,4,
WMT08 French-English Europarl,RANK,252,78,66,rbmt3,4,,saar,3,,cmu-statxfer,5,,rbmt4,1,,limsi,2,
WMT08 French-English Europarl,RANK,1758,71,23,cmu-statxfer,1,,rbmt5,3,,rbmt6,4,,dcu,1,,cued,2,
WMT08 French-English Europarl,RANK,1502,71,90,rbmt4,1,,systran,2,,rbmt3,5,,uedin,2,,rbmt6,2,
WMT08 French-English Europarl,RANK,1302,71,170,cmu-statxfer,3,,saar-contrast,1,,limsi,3,,cued,3,,dcu,2,
WMT08 French-English Europarl,RANK,866,71,90,cued,3,,saar,3,,rbmt6,2,,lium-systran,1,,cmu-statxfer,2,
WMT08 French-English Europarl,RANK,1514,71,210,rbmt6,3,,uedin,1,,systran,4,,rbmt3,3,,cued,2,
WMT08 French-English Europarl,RANK,561,71,17,rbmt5,2,,systran,1,,uedin,1,,saar-contrast,1,,cued,1,
WMT08 French-English Europarl,RANK,852,71,145,rbmt3,3,,saar-contrast,2,,rbmt4,3,,cued,2,,limsi,1,
WMT08 French-English Europarl,RANK,902,71,103,rbmt6,5,,saar-contrast,1,,cmu-statxfer,2,,rbmt5,3,,rbmt4,4,
WMT08 French-English Europarl,RANK,1010,71,133,limsi,2,,saar-contrast,3,,saar,1,,rbmt5,2,,uedin,2,
WMT08 French-English Europarl,RANK,1302,71,69,cmu-statxfer,2,,saar-contrast,1,,limsi,3,,cued,3,,dcu,3,
WMT08 French-English Europarl,RANK,1400,12,79,ucl,4,,uedin,1,,cmu-statxfer,3,,saar-contrast,1,,dcu,5,
WMT08 French-English Europarl,RANK,1452,12,177,rbmt6,5,,uedin,2,,dcu,1,,rbmt4,3,,systran,4,
WMT08 French-English Europarl,RANK,768,12,69,cmu-statxfer,2,,dcu,4,,rbmt6,5,,rbmt4,3,,uedin,1,
WMT08 French-English Europarl,RANK,502,12,65,dcu,5,,limsi,3,,cued,2,,rbmt6,1,,cmu-statxfer,3,
WMT08 French-English Europarl,RANK,1623,12,51,rbmt5,1,,saar,4,,limsi,3,,lium-systran,2,,rbmt3,5,
WMT08 French-English Europarl,RANK,38,12,96,saar,3,,limsi,1,,cmu-statxfer,5,,rbmt4,2,,rbmt3,4,
WMT08 French-English Europarl,RANK,602,12,69,cmu-statxfer,5,,saar,1,,saar-contrast,3,,rbmt3,4,,dcu,1,
WMT08 French-English Europarl,RANK,1734,12,72,rbmt5,5,,systran,5,,rbmt4,2,,saar-contrast,1,,ucl,3,
WMT08 French-English Europarl,RANK,902,12,71,systran,2,,cued,1,,rbmt6,4,,saar,2,
WMT08 French-English Europarl,RANK,768,12,51,cmu-statxfer,3,,dcu,5,,rbmt6,4,,rbmt4,2,,uedin,1,
WMT08 French-English Europarl,RANK,902,111,87,rbmt4,3,,cmu-statxfer,5,,cued,4,,ucl,2,,saar-contrast,1,
WMT08 French-English Europarl,RANK,1205,111,175,rbmt6,3,,lium-systran,2,,saar,1,,ucl,3,,rbmt4,2,
WMT08 French-English Europarl,RANK,1702,111,46,saar-contrast,2,,systran,5,,rbmt4,3,,dcu,4,
WMT08 French-English Europarl,RANK,561,111,20,rbmt5,2,,rbmt6,3,,rbmt3,1,,saar-contrast,1,,lium-systran,1,
WMT08 French-English Europarl,RANK,1105,111,70,limsi,2,,ucl,1,,rbmt6,4,,systran,3,,lium-systran,2,
WMT08 French-English Europarl,RANK,1102,111,83,rbmt5,1,,rbmt3,5,,dcu,2,,saar,3,,limsi,4,
WMT08 French-English Europarl,RANK,1752,111,68,lium-systran,2,,saar-contrast,1,,dcu,3,,cmu-statxfer,4,,rbmt6,5,
WMT08 French-English Europarl,RANK,308,111,87,rbmt5,4,,cmu-statxfer,1,,rbmt4,5,,rbmt6,3,,systran,2,
WMT08 French-English Europarl,RANK,863,111,35,saar-contrast,1,,limsi,2,,ucl,3,,rbmt6,5,,rbmt3,4,
WMT08 French-English Europarl,RANK,1702,111,46,saar-contrast,2,,systran,5,,rbmt6,3,,rbmt4,1,,dcu,4,
WMT08 French-English Europarl,RANK,795,68,101,dcu,1,,rbmt5,4,,cued,3,,saar,5,,lium-systran,2,
WMT08 French-English Europarl,RANK,802,68,59,rbmt4,5,,systran,3,,uedin,1,,cmu-statxfer,4,,saar,2,
WMT08 French-English Europarl,RANK,507,68,98,saar,3,,dcu,1,,rbmt5,5,,cued,2,,ucl,4,
WMT08 French-English Europarl,RANK,141,68,136,rbmt6,4,,cued,2,,cmu-statxfer,1,,systran,5,,rbmt3,3,
WMT08 French-English Europarl,RANK,305,68,63,cmu-statxfer,1,,dcu,4,,saar-contrast,5,,ucl,3,,uedin,2,
WMT08 French-English Europarl,RANK,1752,68,68,limsi,1,,uedin,5,,ucl,5,,rbmt6,5,,rbmt3,2,
WMT08 French-English Europarl,RANK,1189,68,66,uedin,1,,saar-contrast,2,,cued,4,,rbmt5,3,,rbmt3,5,
WMT08 French-English Europarl,RANK,1502,68,76,rbmt6,5,,limsi,2,,uedin,1,,saar-contrast,2,,rbmt5,4,
WMT08 French-English Europarl,RANK,1002,68,73,rbmt4,3,,dcu,2,,saar,5,,lium-systran,1,,cued,4,
WMT08 French-English Europarl,RANK,795,68,100,dcu,1,,rbmt5,5,,cued,1,,saar,4,,lium-systran,1,
WMT08 French-English Europarl,CONSTITUENT,2101,0,102,lium-systran,1,,saar-contrast,1,,rbmt4,1,,rbmt3,2,,cmu-statxfer,1,
WMT08 French-English Europarl,CONSTITUENT,3847,0,44,systran,2,,rbmt3,2,,cued,2,,rbmt4,3,,uedin,1,
WMT08 French-English Europarl,CONSTITUENT,2091,0,50,uedin,1,,cmu-statxfer,1,,rbmt4,2,,cued,1,,rbmt3,3,
WMT08 French-English Europarl,CONSTITUENT,3568,0,62,rbmt4,2,,lium-systran,1,,saar,1,,rbmt5,2,,cued,1,
WMT08 French-English Europarl,CONSTITUENT,842,0,43,saar-contrast,3,,rbmt3,2,,rbmt4,1,,lium-systran,2,,cmu-statxfer,2,
WMT08 French-English Europarl,CONSTITUENT,2596,0,40,rbmt3,1,,cmu-statxfer,2,,lium-systran,1,,cued,1,,rbmt6,3,
WMT08 French-English Europarl,CONSTITUENT,3289,0,53,rbmt3,2,,systran,2,,cmu-statxfer,2,,rbmt4,1,,cued,1,
WMT08 French-English Europarl,CONSTITUENT,2571,0,55,saar-contrast,2,,uedin,2,,lium-systran,2,,limsi,2,,cued,2,
WMT08 French-English Europarl,CONSTITUENT,1822,0,22,rbmt6,1,,rbmt4,1,,saar-contrast,1,,limsi,1,,rbmt5,1,
WMT08 French-English Europarl,CONSTITUENT,2323,0,45,dcu,1,,cued,1,,lium-systran,3,,limsi,3,,saar-contrast,1,
WMT08 French-English Europarl,CONSTITUENT,3091,0,125,saar,5,,systran,4,,limsi,2,,dcu,1,,cued,3,
WMT08 French-English Europarl,CONSTITUENT,1012,0,75,rbmt3,1,,rbmt5,3,,saar,4,,cued,2,,rbmt6,4,
WMT08 French-English Europarl,CONSTITUENT,1210,0,58,rbmt6,2,,saar-contrast,1,,cued,1,,systran,1,,limsi,1,
WMT08 French-English Europarl,CONSTITUENT,1934,0,16,rbmt3,1,,cmu-statxfer,1,,rbmt5,1,,limsi,1,,dcu,1,
WMT08 French-English Europarl,CONSTITUENT,606,0,26,dcu,1,,cued,1,,limsi,1,,saar,1,,rbmt3,2,
WMT08 French-English Europarl,CONSTITUENT,319,0,37,saar-contrast,2,,rbmt3,1,,cued,2,,rbmt5,1,,rbmt4,1,
WMT08 French-English Europarl,CONSTITUENT,1606,0,8,saar-contrast,1,,uedin,1,,rbmt6,1,,rbmt5,1,,cued,1,
WMT08 French-English Europarl,CONSTITUENT,1408,0,22,rbmt5,1,,limsi,1,,rbmt6,2,,cmu-statxfer,1,,uedin,1,
WMT08 French-English Europarl,CONSTITUENT,1904,0,62,rbmt4,1,,cmu-statxfer,2,,lium-systran,1,,rbmt6,1,,dcu,2,
WMT08 French-English Europarl,CONSTITUENT,2091,0,42,uedin,1,,cmu-statxfer,1,,rbmt4,2,,cued,1,,rbmt3,3,
WMT08 French-English Europarl,CONSTITUENT,715,18,66,ucl,4,,uedin,1,,rbmt4,5,,cued,1,,dcu,1,
WMT08 French-English Europarl,CONSTITUENT,220,18,45,saar,4,,limsi,1,,dcu,5,,rbmt3,3,,uedin,1,
WMT08 French-English Europarl,CONSTITUENT,1262,18,16,rbmt6,1,,ucl,1,,uedin,1,,saar-contrast,1,,lium-systran,1,
WMT08 French-English Europarl,CONSTITUENT,476,18,30,lium-systran,1,,saar,1,,dcu,1,,saar-contrast,1,,rbmt4,4,
WMT08 French-English Europarl,CONSTITUENT,2989,18,70,limsi,3,,saar,3,,rbmt4,2,,rbmt3,5,,rbmt5,1,
WMT08 French-English Europarl,CONSTITUENT,1903,18,63,systran,5,,uedin,1,,rbmt5,4,,rbmt3,3,,saar-contrast,1,
WMT08 French-English Europarl,CONSTITUENT,3479,18,63,dcu,1,,saar-contrast,1,,uedin,1,,rbmt4,4,,rbmt5,1,
WMT08 French-English Europarl,CONSTITUENT,1732,18,29,ucl,1,,lium-systran,1,,rbmt3,4,,rbmt6,4,,limsi,1,
